image,capture_time,gps_latitude,gps_longitude,title,caption,export_tags,export_galleries
20070203@015142,2007-02-03T01:51:42.50,43.7163412,13.2191062,"Corso II Giugno bridge reflected in Misa river at night","Corso II Giugno bridge reflected in Misa river at night.","2007-02-03|2007-02|2007|Misa|Senigallia|Ancona|Marche|Italy|Europe|bridge|night|river|Senigallia|Ancona|Marche|Italy|Europe|winter|street lamp","Senigallia City and Seaside|Timeline 2007"
20071102@122220,2007-11-02T12:22:20.90,40.6283,14.485044444445,"Sightseeing in Positano","Sightseeing in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary. View of the coastline south of Positano.","2007-11-02|2007-11|2007|Positano|Salerno|Campania|Italy|Europe|fall|morning|Tyrrhenian|Mediterranean|sea|vantage point|cliff","Timeline 2007"
20071102@122341,2007-11-02T12:23:41.80,40.6283,14.485044444445,"Sightseeing in Positano","Sightseeing in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary. View from above the beach of Positano with a view of the coastline beyond the beach.","2007-11-02|2007-11|2007|Positano|Salerno|Campania|Italy|Europe|fall|morning|Tyrrhenian|Mediterranean|sea|vantage point|cliff|cloud","Timeline 2007"
20071102@122530,2007-11-02T12:25:30.90,40.6283,14.485044444445,"Sightseeing in Positano","Sightseeing in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary. View of the coastline south of Positano.","2007-11-02|2007-11|2007|Positano|Salerno|Campania|Italy|Europe|Tyrrhenian|Mediterranean|sea|cliff|coast|beach|vantage point|fall|morning|cloud","Timeline 2007"
20071102@122710,2007-11-02T12:27:10.30,40.6283,14.485044444445,"Sightseeing in Positano","Sightseeing in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary.","2007-11-02|2007-11|2007|Positano|Salerno|Campania|Italy|Europe|fall|morning|vantage point|cliff","Timeline 2007"
20071102@123257,2007-11-02T12:32:57.10,40.6283,14.485044444445,"Sightseeing in Positano","Sightseeing in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary.","2007-11-02|2007-11|2007|Positano|Salerno|Campania|Italy|Europe|fall|morning|Tyrrhenian|Mediterranean|sea|vantage point|flower|cloud","Timeline 2007"
20071102@131402,2007-11-02T13:14:02.50,40.6283,14.485044444445,"Sightseeing in Positano","Sightseeing in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary. Positano from below.","2007-11-02|2007-11|2007|Positano|Salerno|Campania|Italy|Europe|cloud|sky|outdoor|fall|morning|vantage point|cliff","Timeline 2007"
20071102@133856,2007-11-02T13:38:56.70,40.6283,14.485044444445,"Sightseeing in Positano","Sightseeing in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary.","2007-11-02|2007-11|2007|Positano|Salerno|Campania|Italy|Europe|tower|fall|morning|Tyrrhenian|Mediterranean|sea|vantage point|cliff|cloud","Timeline 2007"
20071102@134443,2007-11-02T13:44:43.80,40.6283,14.485044444445,"Sightseeing in Positano","Sightseeing in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary.  View of the coastline north of Positano.","2007-11-02|2007-11|2007|Positano|Salerno|Campania|Italy|Europe|tree|fall|morning|Tyrrhenian|Mediterranean|sea|vantage point|cliff","Timeline 2007"
20071102@175029,2007-11-02T17:50:29.50,40.6283,14.485044444445,"Fishing at dawn in Positano","Fishing at dawn in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary.",2007-11-02|2007-11|2007|Positano|Salerno|Campania|Italy|Europe|dusk|fishing|tower|fall|afternoon|Tyrrhenian|Mediterranean|sea|cliff,"Timeline 2007"
20071102@175254,2007-11-02T17:52:54.60,40.6283,14.485044444445,"Fishing at dawn in Positano","Fishing at dawn in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary.",2007-11-02|2007-11|2007|Positano|Salerno|Campania|Italy|Europe|dusk|fishing|tower|fall|afternoon|Tyrrhenian|Mediterranean|sea|cliff,"Timeline 2007"
20071102@175733,2007-11-02T17:57:33.60,40.6283,14.485044444445,"Fishing at dawn in Positano","Fishing at dawn in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary.",2007-11-02|2007-11|2007|Positano|Salerno|Campania|Italy|Europe|dusk|fishing|tower|fall|afternoon|Tyrrhenian|Mediterranean|sea|cliff,"Timeline 2007"
20071103@120419,2007-11-03T12:04:19.50,40.6495833333333,14.6118583333333,"Sightseeing in Ravello","Sightseeing in Ravello. Ravello, a resort town set 365 meters above the Tyrrhenian Sea by Italy's Amalfi Coast, is home to iconic cliffside gardens. The 13th-century, Moorish-style Villa Rufolo offers far-reaching views from its terraced gardens, and hosts indoor and outdoor concerts during the popular summertime Ravello Festival. Villa Cimbrone, a medieval-style estate perched on a steep outcrop, is surrounded by another celebrated garden.","2007-11-03|2007-11|2007|Ravello|Salerno|Campania|Italy|Europe|Villa Rufolo|Ravello|Salerno|Campania|Italy|Europe|flower|garden|tree|fall|morning|Tyrrhenian|Mediterranean|sea|vantage point|cliff|church|pine|tree","Timeline 2007"
20071103@120946,2007-11-03T12:09:46.60,40.6495833333333,14.6118583333333,"Sightseeing in Ravello","Sightseeing in Ravello. Ravello, a resort town set 365 meters above the Tyrrhenian Sea by Italy's Amalfi Coast, is home to iconic cliffside gardens. The 13th-century, Moorish-style Villa Rufolo offers far-reaching views from its terraced gardens, and hosts indoor and outdoor concerts during the popular summertime Ravello Festival. Villa Cimbrone, a medieval-style estate perched on a steep outcrop, is surrounded by another celebrated garden.","2007-11-03|2007-11|2007|Ravello|Salerno|Campania|Italy|Europe|Villa Rufolo|Ravello|Salerno|Campania|Italy|Europe|garden|tree|fall|morning|Tyrrhenian|Mediterranean|sea|vantage point|cliff|church|pine|tree","Timeline 2007"
20071103@121000,2007-11-03T12:10:00.50,40.6495833333333,14.6118583333333,"Sightseeing in Ravello","Sightseeing in Ravello. Ravello, a resort town set 365 meters above the Tyrrhenian Sea by Italy's Amalfi Coast, is home to iconic cliffside gardens. The 13th-century, Moorish-style Villa Rufolo offers far-reaching views from its terraced gardens, and hosts indoor and outdoor concerts during the popular summertime Ravello Festival. Villa Cimbrone, a medieval-style estate perched on a steep outcrop, is surrounded by another celebrated garden.","2007-11-03|2007-11|2007|Ravello|Salerno|Campania|Italy|Europe|Villa Rufolo|Ravello|Salerno|Campania|Italy|Europe|garden|coast|cliff|pine|tree|Tyrrhenian|Mediterranean|sea|fall|church|morning|vantage point","Timeline 2007"
20071103@131548,2007-11-03T13:15:48.30,40.6495833333333,14.6118583333333,"Sightseeing in Ravello","Sightseeing in Ravello. Ravello, a resort town set 365 meters above the Tyrrhenian Sea by Italy's Amalfi Coast, is home to iconic cliffside gardens. The 13th-century, Moorish-style Villa Rufolo offers far-reaching views from its terraced gardens, and hosts indoor and outdoor concerts during the popular summertime Ravello Festival. Villa Cimbrone, a medieval-style estate perched on a steep outcrop, is surrounded by another celebrated garden.","2007-11-03|2007-11|2007|Ravello|Salerno|Campania|Italy|Europe|Villa Cimbrone|Ravello|Salerno|Campania|Italy|Europe|statue|fall|morning|Tyrrhenian|Mediterranean|sea|vantage point|cliff","Timeline 2007"
20071103@131812,2007-11-03T13:18:12.10,40.6495833333333,14.6118583333333,"Sightseeing in Ravello","Sightseeing in Ravello. Ravello, a resort town set 365 meters above the Tyrrhenian Sea by Italy's Amalfi Coast, is home to iconic cliffside gardens. The 13th-century, Moorish-style Villa Rufolo offers far-reaching views from its terraced gardens, and hosts indoor and outdoor concerts during the popular summertime Ravello Festival. Villa Cimbrone, a medieval-style estate perched on a steep outcrop, is surrounded by another celebrated garden.","2007-11-03|2007-11|2007|Ravello|Salerno|Campania|Italy|Europe|Villa Cimbrone|Ravello|Salerno|Campania|Italy|Europe|garden|statue|fall|morning|Tyrrhenian|Mediterranean|sea|vantage point|cliff","Timeline 2007"
20080120@005149,2008-01-20T00:51:49.70,43.7190888888883,13.2192833333333,"Boat reflected on still water at night","Boat reflected on still water at night.",2008-01-20|2008-01|2008|night|harbor|boat|Senigallia|Ancona|Marche|Italy|Europe|winter|reflection,"Senigallia City and Seaside|Timeline 2008"
20080502@154256,2008-05-02T15:42:56.60,45.8907277777783,8.52601388888833,"Sightseeing in Isola Bella, Lake Maggiore","Sightseeing in Isola Bella, Lake Maggiore. Lake Maggiore, a long, thin lake on the south side of the Alps, is noted for its picturesque setting amid greenery-covered mountains. It's shared by Italy's Piedmont and Lombardy regions and Switzerland's Ticino canton. Within it are the 3 tiny Borromean Islands, known for terraced gardens and aristocratic villas. They're reachable by boat from Stresa, one of the larger lake towns, in Piedmont. Isola Bella is one of the Borromean Islands of Lago Maggiore in north Italy. The island is situated in the Borromean Gulf 400 metres from the lakeside town of Stresa.","2008-05-02|2008-05|2008|Isola Bella|Stresa|Verbano-Cusio-Ossola|Piemonte|Italy|Europe|lake|spring|afternoon|mountain|cloud","Timeline 2008"
20080502@154545,2008-05-02T15:45:45.80,45.8907277777783,8.52601388888833,"Sightseeing in Isola Bella, Lake Maggiore","Sightseeing in Isola Bella, Lake Maggiore. Lake Maggiore, a long, thin lake on the south side of the Alps, is noted for its picturesque setting amid greenery-covered mountains. It's shared by Italy's Piedmont and Lombardy regions and Switzerland's Ticino canton. Within it are the 3 tiny Borromean Islands, known for terraced gardens and aristocratic villas. They're reachable by boat from Stresa, one of the larger lake towns, in Piedmont. Isola Bella is one of the Borromean Islands of Lago Maggiore in north Italy. The island is situated in the Borromean Gulf 400 metres from the lakeside town of Stresa.","2008-05-02|2008-05|2008|Isola Bella|Stresa|Verbano-Cusio-Ossola|Piemonte|Italy|Europe|lake|spring|afternoon|mountain|cloud|flower","Timeline 2008"
20080711@161225,2008-07-11T16:12:25.50,43.714755555555,13.1241888888883,"Threshed fields in the hills around Senigallia","Threshed fields in the hills around Senigallia.",2008-07-11|2008-07|2008|Marche|Italy|Europe|Senigallia|Ancona|Marche|Italy|Europe|hill|sky|outdoor|summer|afternoon|threshed|field|countryside|blue|SenigalliaMareCollina|Book|Tenset,"Book Senigallia Mare Collina|Portfolio|Senigallia Hills|Timeline 2008"
20080711@161256,2008-07-11T16:12:56.40,43.714755555555,13.1241888888883,"Threshed fields in the hills around Senigallia","Threshed fields in the hills around Senigallia.",2008-07-11|2008-07|2008|Marche|Italy|Europe|Senigallia|Ancona|Marche|Italy|Europe|hill|sky|outdoor|summer|afternoon|threshed|field|countryside|blue,"Senigallia Hills|Timeline 2008"
20080711@161335,2008-07-11T16:13:35.10,43.714755555555,13.1241888888883,"Threshed fields in the hills around Senigallia","Threshed fields in the hills around Senigallia.",2008-07-11|2008-07|2008|Marche|Italy|Europe|Senigallia|Ancona|Marche|Italy|Europe|hill|sky|outdoor|summer|afternoon|threshed|field|countryside|blue,"Senigallia Hills|Timeline 2008"
20080821@215740,2008-08-21T21:57:40.90,,,"Summer Jamboree footwork","Summer Jamboree footwork. The Summer Jamboree is an international music festival, that takes place annualy in Senigallia, devoted to 1940's and 1950's American music and culture.","2008-08-21|2008-08|2008|Summer Jamboree|Senigallia|Ancona|Marche|Italy|Europe|dancer|night|foot|dancing|summer","Timeline 2008"
20080821@215744,2008-08-21T21:57:44.70,,,"Summer Jamboree footwork","Summer Jamboree footwork. The Summer Jamboree is an international music festival, that takes place annualy in Senigallia, devoted to 1940's and 1950's American music and culture.","2008-08-21|2008-08|2008|Summer Jamboree|Senigallia|Ancona|Marche|Italy|Europe|dancer|night|foot|dancing|summer","Timeline 2008"
20080821@215827,2008-08-21T21:58:27.10,,,"Summer Jamboree footwork","Summer Jamboree footwork. The Summer Jamboree is an international music festival, that takes place annualy in Senigallia, devoted to 1940's and 1950's American music and culture.","2008-08-21|2008-08|2008|Summer Jamboree|Senigallia|Ancona|Marche|Italy|Europe|dancer|night|foot|dancing|summer","Timeline 2008"
20080821@221336,2008-08-21T22:13:36.00,,,"Summer Jamboree footwork","Summer Jamboree footwork. The Summer Jamboree is an international music festival, that takes place annualy in Senigallia, devoted to 1940's and 1950's American music and culture.","2008-08-21|2008-08|2008|Summer Jamboree|Senigallia|Ancona|Marche|Italy|Europe|dancer|night|foot|dancing|summer","Timeline 2008"
20080821@221438,2008-08-21T22:14:38.70,,,"Summer Jamboree footwork","Summer Jamboree footwork. The Summer Jamboree is an international music festival, that takes place annualy in Senigallia, devoted to 1940's and 1950's American music and culture.","2008-08-21|2008-08|2008|Summer Jamboree|Senigallia|Ancona|Marche|Italy|Europe|dancer|night|foot|dancing|summer","Timeline 2008"
20080821@221529,2008-08-21T22:15:29.30,,,"Summer Jamboree footwork","Summer Jamboree footwork. The Summer Jamboree is an international music festival, that takes place annualy in Senigallia, devoted to 1940's and 1950's American music and culture.","2008-08-21|2008-08|2008|Summer Jamboree|Senigallia|Ancona|Marche|Italy|Europe|dancer|night|foot|dancing|summer","Timeline 2008"
20080821@221606,2008-08-21T22:16:06.70,,,"Summer Jamboree footwork","Summer Jamboree footwork. The Summer Jamboree is an international music festival, that takes place annualy in Senigallia, devoted to 1940's and 1950's American music and culture.","2008-08-21|2008-08|2008|Summer Jamboree|Senigallia|Ancona|Marche|Italy|Europe|dancer|night|foot|dancing|summer","Timeline 2008"
20080821@222015,2008-08-21T22:20:15.50,,,"Summer Jamboree footwork","Summer Jamboree footwork. The Summer Jamboree is an international music festival, that takes place annualy in Senigallia, devoted to 1940's and 1950's American music and culture.","2008-08-21|2008-08|2008|Summer Jamboree|Senigallia|Ancona|Marche|Italy|Europe|dancer|night|foot|dancing|summer","Timeline 2008"
20080821@222059,2008-08-21T22:20:59.40,,,"Summer Jamboree footwork","Summer Jamboree footwork. The Summer Jamboree is an international music festival, that takes place annualy in Senigallia, devoted to 1940's and 1950's American music and culture.","2008-08-21|2008-08|2008|Summer Jamboree|Senigallia|Ancona|Marche|Italy|Europe|dancer|night|foot|dancing|summer","Timeline 2008"
20080821@223156,2008-08-21T22:31:56.00,,,"Summer Jamboree footwork","Summer Jamboree footwork. The Summer Jamboree is an international music festival, that takes place annualy in Senigallia, devoted to 1940's and 1950's American music and culture.","2008-08-21|2008-08|2008|Summer Jamboree|Senigallia|Ancona|Marche|Italy|Europe|dancer|night|foot|dancing|summer","Timeline 2008"
20080816@141724,2008-08-16T14:17:24.80,43.7044989333333,13.1384575333333,"Road to the hill","Road to the hill.",2008-08-16|2008-08|2008|cypresses|tree|sky|outdoor|road|cloud|summer|afternoon|Roncitelli|Ancona|Marche|Italy|Europe|Senigallia|Ancona|Marche|Italy|Europe|SenigalliaMareCollina|Book,"Timeline 2008"
20080816@141909,2008-08-16T14:19:09.30,43.7044989333333,13.1384575333333,"Road to the hill","Road to the hill.","2008-08-16|2008-08|2008|sky|outdoor|road|traffic sign|steep grade|traffic sign|warning|traffic sign|cloud|summer|afternoon|Roncitelli|Ancona|Marche|Italy|Europe|Senigallia|Ancona|Marche|Italy|Europe|SenigalliaMareCollina|Book","Book Senigallia Mare Collina|Timeline 2008"
20080816@143323,2008-08-16T14:33:23.40,43.70758575,13.1321597166667,"White cloud in a blue sky","White cloud in a blue sky.",2008-08-16|2008-08|2008|sky|outdoor|cloud|summer|afternoon|Roncitelli|Ancona|Marche|Italy|Europe|white|blue|cloudscape|outdoor,"Cloudscape|Timeline 2008"
20080816@143333,2008-08-16T14:33:33.80,43.70758575,13.1321597166667,"White cloud in a blue sky","White cloud in a blue sky.",2008-08-16|2008-08|2008|sky|outdoor|cloud|summer|afternoon|Roncitelli|Ancona|Marche|Italy|Europe|white|blue|cloudscape|outdoor,"Cloudscape|Timeline 2008"
20080816@144229,2008-08-16T14:42:29.00,43.70758575,13.1321597166667,"White cloud in a blue sky","White cloud in a blue sky.",2008-08-16|2008-08|2008|sky|outdoor|cloud|summer|afternoon|Roncitelli|Ancona|Marche|Italy|Europe|white|blue|cloudscape|outdoor,"Cloudscape|Timeline 2008"
20080816@144250,2008-08-16T14:42:50.00,43.70758575,13.1321597166667,"White cloud in a blue sky","White cloud in a blue sky.",2008-08-16|2008-08|2008|sky|outdoor|cloud|summer|afternoon|Roncitelli|Ancona|Marche|Italy|Europe|white|blue|cloudscape|outdoor,"Cloudscape|Timeline 2008"
20080816@144315,2008-08-16T14:43:15.00,43.70758575,13.1321597166667,"White cloud in a blue sky","White cloud in a blue sky.",2008-08-16|2008-08|2008|sky|outdoor|cloud|summer|afternoon|Roncitelli|Ancona|Marche|Italy|Europe|white|blue|cloudscape|outdoor,"Cloudscape|Timeline 2008"
20070409@191842,2007-04-09T19:18:42.60,,,"Blossoming fig flowers","Blossoming fig flowers.",2007-04-09|2007-04|2007|flower|fig|flower|spring,"Timeline 2007"
20070409@192135,2007-04-09T19:21:35.70,,,"Blossoming fig flowers","Blossoming fig flowers.",2007-04-09|2007-04|2007|flower|fig|flower|spring,"Timeline 2007"
20090131@010755,2009-01-31T01:07:55.30,43.7197375666667,13.2213163333333,"Night waves","Night waves. Long exposure of waves crashing on Senigallia beach at night.","2009-01-31|2009-01|2009|night|sea|winter|seascape|outdoor|long exposure|beach|Senigallia|Ancona|Marche|Italy|Europe","Seascape|Senigallia City and Seaside|Timeline 2009"
20090405@185057,2009-04-05T18:50:57.00,43.7202027777783,13.2209361111117,"Rotonda in a foggy afternoon","Rotonda in a foggy afternoon.","2009-04-05|2009-04|2009|spring|afternoon|sea|Rotonda a mare|Senigallia|Ancona|Marche|Italy|Europe|seascape|outdoor|blue|dusk|Senigallia|Ancona|Marche|Italy|Europe","Seascape|Senigallia City and Seaside|Timeline 2009"
20090502@151923,2009-05-02T15:19:23.30,,,"Calla Lilly","Calla Lilly. Close-up of Calla Lilly flowers.","2009-05-02|2009-05|2009|flower|calla lily|flower|white|yellow|close up","Timeline 2009"
20090502@152232,2009-05-02T15:22:32.20,,,"Calla Lilly","Calla Lilly. Close-up of Calla Lilly flowers.","2009-05-02|2009-05|2009|flower|calla lily|flower|white|yellow|close up","Timeline 2009"
20080502@123038,2008-05-02T12:30:38.90,45.8955416666667,8.52680833333333,"Sightseeing in Isola Bella, Lake Maggiore","Sightseeing in Isola Bella, Lake Maggiore. Lake Maggiore, a long, thin lake on the south side of the Alps, is noted for its picturesque setting amid greenery-covered mountains. It's shared by Italy's Piedmont and Lombardy regions and Switzerland's Ticino canton. Within it are the 3 tiny Borromean Islands, known for terraced gardens and aristocratic villas. They're reachable by boat from Stresa, one of the larger lake towns, in Piedmont. Isola Bella is one of the Borromean Islands of Lago Maggiore in north Italy. The island is situated in the Borromean Gulf 400 metres from the lakeside town of Stresa.","2008-05-02|2008-05|2008|Isola Bella|Stresa|Verbano-Cusio-Ossola|Piemonte|Italy|Europe|garden|morning|spring|bright|lake","Timeline 2008"
20080502@123337,2008-05-02T12:33:37.30,45.8955416666667,8.52680833333333,"Sightseeing in Isola Bella, Lake Maggiore","Sightseeing in Isola Bella, Lake Maggiore. Lake Maggiore, a long, thin lake on the south side of the Alps, is noted for its picturesque setting amid greenery-covered mountains. It's shared by Italy's Piedmont and Lombardy regions and Switzerland's Ticino canton. Within it are the 3 tiny Borromean Islands, known for terraced gardens and aristocratic villas. They're reachable by boat from Stresa, one of the larger lake towns, in Piedmont. Isola Bella is one of the Borromean Islands of Lago Maggiore in north Italy. The island is situated in the Borromean Gulf 400 metres from the lakeside town of Stresa.","2008-05-02|2008-05|2008|Isola Bella|Stresa|Verbano-Cusio-Ossola|Piemonte|Italy|Europe|garden|morning|spring|lake","Timeline 2008"
