image,capture_time,gps_latitude,gps_longitude,title,caption,export_tags,export_galleries
20071103@121000,2007-11-03T12:10:00.000,,,"Sightseeing in Ravello","Sightseeing in Ravello. Ravello, a resort town set 365 meters above the Tyrrhenian Sea by Italy's Amalfi Coast, is home to iconic cliffside gardens. The 13th-century, Moorish-style Villa Rufolo offers far-reaching views from its terraced gardens, and hosts indoor and outdoor concerts during the popular summertime Ravello Festival. Villa Cimbrone, a medieval-style estate perched on a steep outcrop, is surrounded by another celebrated garden.","|morning|fall|tree|pine|cliff|garden|coast|church|sea|Mediterranean|Tyrrhenian|vantage point|Europe|Italy|Campania|Salerno|Ravello|Europe|Italy|Campania|Salerno|Ravello|Villa Rufolo",""
20071103@131548,2007-11-03T13:15:48.000,40.6495833333333,14.6118583333333,"Sightseeing in Ravello","Sightseeing in Ravello. Ravello, a resort town set 365 meters above the Tyrrhenian Sea by Italy's Amalfi Coast, is home to iconic cliffside gardens. The 13th-century, Moorish-style Villa Rufolo offers far-reaching views from its terraced gardens, and hosts indoor and outdoor concerts during the popular summertime Ravello Festival. Villa Cimbrone, a medieval-style estate perched on a steep outcrop, is surrounded by another celebrated garden.","|morning|statue|fall|cliff|sea|Mediterranean|Tyrrhenian|vantage point|Europe|Italy|Campania|Salerno|Ravello|Europe|Italy|Campania|Salerno|Ravello|Villa Cimbrone",""
20071103@131812,2007-11-03T13:18:12.000,40.6495833333333,14.6118583333333,"Sightseeing in Ravello","Sightseeing in Ravello. Ravello, a resort town set 365 meters above the Tyrrhenian Sea by Italy's Amalfi Coast, is home to iconic cliffside gardens. The 13th-century, Moorish-style Villa Rufolo offers far-reaching views from its terraced gardens, and hosts indoor and outdoor concerts during the popular summertime Ravello Festival. Villa Cimbrone, a medieval-style estate perched on a steep outcrop, is surrounded by another celebrated garden.","|morning|statue|fall|cliff|garden|sea|Mediterranean|Tyrrhenian|vantage point|Europe|Italy|Campania|Salerno|Ravello|Europe|Italy|Campania|Salerno|Ravello|Villa Cimbrone",""
20080120@005149,2008-01-20T00:51:49.000,43.7190888833333,13.2192833166667,"Boat reflected on still water at night",,|harbor|boat|Europe|Italy|Marche|Ancona|Senigallia|night|winter,"||Senigallia City and Seaside"
20080711@161225,2008-07-11T16:12:25.000,43.7147555,13.1241888833333,"Threshed field","Threshed fields in the hills around Senigallia.",|Europe|Italy|Marche|Europe|Italy|Marche|Ancona|Senigallia|blue|afternoon|summer|hill|outdoor|sky|Book|SenigalliaMareCollina|countryside|field|threshed,"||Book Senigallia Mare Collina|Senigallia Hills"
20080711@161335,2008-07-11T16:13:35.000,43.7147555,13.1241888833333,"Threshed field","Threshed fields in the hills around Senigallia.",|Europe|Italy|Marche|Europe|Italy|Marche|Ancona|Senigallia|blue|afternoon|summer|hill|outdoor|sky|countryside|field|threshed,"||Senigallia Hills"
20080816@141724,2008-08-16T14:17:24.000,43.7044989333333,13.1384575333333,"Road to the hill","Road in the hills around Senigallia.",|Europe|Italy|Marche|Ancona|Senigallia|cloud|afternoon|summer|outdoor|sky|Europe|Italy|Marche|Ancona|Roncitelli|Book|SenigalliaMareCollina|road|tree|cypresses,"||Book Senigallia Mare Collina"
20080816@141909,2008-08-16T14:19:09.000,43.7044989333333,13.1384575333333,"Road to the hill","Road in the hills around Senigallia.","|Europe|Italy|Marche|Ancona|Senigallia|cloud|afternoon|summer|outdoor|sky|Europe|Italy|Marche|Ancona|Roncitelli|Book|SenigalliaMareCollina|road|traffic sign|traffic sign|steep grade|traffic sign|warning","||Book Senigallia Mare Collina"
20080816@144229,2008-08-16T14:42:29.000,43.7075857166667,13.1321597166667,"White cloud","White cloud in a blue sky.",|cloud|white|blue|afternoon|summer|outdoor|sky|Europe|Italy|Marche|Ancona|Roncitelli|outdoor|cloudscape,||Cloudscape
20080816@151105,2008-08-16T15:11:05.000,43.7389955166667,13.1529307166667,"Hill with parched sunflowers",,"|Europe|Italy|Marche|Ancona|Senigallia|afternoon|summer|flower|sunflower|Europe|Italy|Marche|Ancona|Cesano di Senigallia|outdoor|sky|Book|SenigalliaMareCollina","||Book Senigallia Mare Collina"
20080826@171413,2008-08-26T17:14:13.000,,,"Sightseeing in Venice","Sightseeing in Venice. Venice, capital of northern Italy's Veneto region, is built on more than 100 small islands in a marshy lagoon in the Adriatic Sea. Its stone palaces seemingly rise out of the water. There are no cars or roadways, just canals and boats. The Grand Canal snakes through the city, which is filled with innumerable narrow, mazelike alleys and small squares.","|boat|afternoon|summer|Europe|Italy|Veneto|Venezia|San Marco|canal|gondola",""
20080827@061338,2008-08-27T06:13:38.000,45.4332063333333,12.3400121833333,"Sightseeing of San Giorgio Maggiore in Venice","Sightseeing of San Giorgio Maggiore in Venice. Venice, capital of northern Italy's Veneto region, is built on more than 100 small islands in a marshy lagoon in the Adriatic Sea. Its stone palaces seemingly rise out of the water. There are no cars or roadways, just canals and boats. The Grand Canal snakes through the city, which is filled with innumerable narrow, mazelike alleys and small squares. San Giorgio Maggiore is a 16th-century Benedictine church on the island of the same name in Venice, northern Italy, designed by Andrea Palladio, and built between 1566 and 1610.","|summer|dawn|sea|Mediterranean|Adriatic|Europe|Italy|Veneto|Venezia|San Marco|canal|church|gondola|bell tower",""
20080827@073520,2008-08-27T07:35:20.000,,,"Sightseeing in Venice","Sightseeing in Venice. Venice, capital of northern Italy's Veneto region, is built on more than 100 small islands in a marshy lagoon in the Adriatic Sea. Its stone palaces seemingly rise out of the water. There are no cars or roadways, just canals and boats. The Grand Canal snakes through the city, which is filled with innumerable narrow, mazelike alleys and small squares.",|morning|summer|walking|Europe|Italy|Veneto|Venezia|alley,""
20080827@214411,2008-08-27T21:44:11.000,45.4326454333333,12.3381829333333,"Sightseeing of San Giorgio Maggiore in Venice","Sightseeing of San Giorgio Maggiore in Venice. Venice, capital of northern Italy's Veneto region, is built on more than 100 small islands in a marshy lagoon in the Adriatic Sea. Its stone palaces seemingly rise out of the water. There are no cars or roadways, just canals and boats. The Grand Canal snakes through the city, which is filled with innumerable narrow, mazelike alleys and small squares. San Giorgio Maggiore is a 16th-century Benedictine church on the island of the same name in Venice, northern Italy, designed by Andrea Palladio, and built between 1566 and 1610.","|night|summer|sea|Mediterranean|Adriatic|Europe|Italy|Veneto|Venezia|San Marco|canal|church|bell tower",""
20090131@010755,2009-01-31T01:07:55.000,43.71973755,13.2213163333333,"Night waves","Night waves. Long exposure of waves crashing on Senigallia beach at night.",|Europe|Italy|Marche|Ancona|Senigallia|sea|outdoor|seascape|beach|night|winter,"||Seascape|Senigallia City and Seaside"
20090405@185057,2009-04-05T18:50:57.000,43.7202027833333,13.2209361166667,"Rotonda a Mare","Rotonda a Mare in a foggy afternoon.","|Europe|Italy|Marche|Ancona|Senigallia|sea|outdoor|seascape|spring|blue|afternoon|Europe|Italy|Marche|Ancona|Senigallia|Rotonda a mare|dusk","||Seascape|Senigallia City and Seaside"
20090502@151923,2009-05-02T15:19:23.000,,,"Calla Lilly","Close-up of Calla Lilly flowers.","|flower|yellow|white|flower|calla lily",""
20090502@152232,2009-05-02T15:22:32.000,,,"Calla Lilly","Close-up of Calla Lilly flowers.","|flower|yellow|white|flower|calla lily",""
20090718@135354,2009-07-18T13:53:54.000,43.7094509333333,13.1461876333333,"Roncitelli's hills",,|Europe|Italy|Marche|Ancona|Senigallia|yellow|afternoon|hill|tree|Europe|Italy|Marche|Ancona|Roncitelli|Book|SenigalliaMareCollina|countryside|field|threshed,"||Senigallia Hills"
20090718@135515,2009-07-18T13:55:15.000,43.7094509333333,13.1461876333333,"Roncitelli's hills",,"|Europe|Italy|Marche|Ancona|Senigallia|afternoon|hill|Europe|Italy|Marche|Ancona|Roncitelli|Book|SenigalliaMareCollina|utility pole","||Book Senigallia Mare Collina|Senigallia Hills"
20090718@135557,2009-07-18T13:55:57.000,43.7094509333333,13.1461876333333,"Roncitelli's hills",,|Europe|Italy|Marche|Ancona|Senigallia|yellow|afternoon|hill|tree|Europe|Italy|Marche|Ancona|Roncitelli|Book|SenigalliaMareCollina|countryside|field|threshed,"||Book Senigallia Mare Collina|Senigallia Hills"
20090801@201236,2009-08-01T20:12:36.000,43.7180936833333,13.2195996833333,"Chimney reflected at harbor",,"|harbor|Europe|Italy|Marche|Ancona|Senigallia|Senigallia harbor|green|yellow|outdoor|seascape|sunset|summer|chimney|Book|SenigalliaMareCollina","||Book Senigallia Mare Collina|Senigallia City and Seaside"
20090801@202517,2009-08-01T20:25:17.000,43.7209316333333,13.2206726,"Resting seagulls",,"|harbor|Europe|Italy|Marche|Ancona|Senigallia|Senigallia harbor|outdoor|seascape|sunset|street lamp|summer|resting|bird|seagull|Book|SenigalliaMareCollina","||Book Senigallia Mare Collina|Senigallia City and Seaside"
20090801@204115,2009-08-01T20:41:15.000,43.7180936833333,13.2195996833333,"Chimney reflected at harbor",,"|harbor|Europe|Italy|Marche|Ancona|Senigallia|Senigallia harbor|outdoor|seascape|sunset|summer|Book|SenigalliaMareCollina","||Book Senigallia Mare Collina|Senigallia City and Seaside"
20090804@155225,2009-08-04T15:52:25.000,43.7242812333333,13.1413865166667,"Sea horizon and hills",,|Europe|Italy|Marche|Ancona|Senigallia|cloud|afternoon|summer|hill|tree|outdoor|sky|sea|Mediterranean|Adriatic|Book|SenigalliaMareCollina|Europe|Italy|Marche|Ancona|Scapezzano,"||Book Senigallia Mare Collina|Senigallia Hills"
20090807@212005,2009-08-07T21:20:05.000,43.7218221833333,13.2220472166667,"Moon reflection on sea",,"|Europe|Italy|Marche|Ancona|Senigallia|Senigallia harbor|outdoor|seascape|outdoor|moon|night|summer","||Seascape|Senigallia City and Seaside"
20090912@172250,2009-09-12T17:22:50.000,43.7149647666667,13.217867,"Neptune statue",,|Europe|Italy|Marche|Ancona|Senigallia|afternoon|summer|statue,"||Senigallia City and Seaside"
20091227@001047,2009-12-27T00:10:47.000,,,"Triangle, circle and square with wooden blocks","Colorful wooden toy blocks. Lined up to form a composition of a triangle, a circle and a square.",|green|white|blue|wood|toy|block,""
20091227@001810,2009-12-27T00:18:10.000,,,"Ruined temple made of wooden blocks","Colorful wooden toy blocks. Stacked to mimic a ruined greek temple.",|green|white|blue|wood|column|ruins|temple|roman|toy|block|temple|greek,""
20091227@002858,2009-12-27T00:28:58.000,,,"Circle and square with wooden blocks","Colorful wooden toy blocks. Stacked to form a circle inside a square.",|red|white|wood|toy|block,""
20091227@003548,2009-12-27T00:35:48.000,,,"Open door with wooden blocks","Colorful wooden toy blocks. Stacked to form an open door.",|white|wood|toy|block,""
20091227@004324,2009-12-27T00:43:24.000,,,"Stacked wooden blocks","Stacked wooden blocks. stacked.",|white|wood|toy|block,""
20091227@005136,2009-12-27T00:51:36.000,,,"Stacked wooden blocks","Colorful wooden toy blocks. Random stacked.",|green|orange|yellow|red|white|blue|wood|purple|toy|block|stack,""
20100103@160240,2010-01-03T16:02:40.000,43.7227150166667,13.2219707666667,"Watching the sea",,"|harbor|Europe|Italy|Marche|Ancona|Senigallia|Senigallia harbor|lighthouse|red|fishing net|lift net|shore operated stationary lift net|cloud|afternoon|winter|sea|Mediterranean|Adriatic|watching|Book|SenigalliaMareCollina","||Book Senigallia Mare Collina|Senigallia City and Seaside"
20100103@162321,2010-01-03T16:23:21.000,43.7200865,13.2208871833333,"Walking on the Senigallia's beach",,"|harbor|Europe|Italy|Marche|Ancona|Senigallia|Senigallia harbor|cloud|afternoon|winter|walking|Europe|Italy|Marche|Ancona|Monte Conero|sea|Mediterranean|Adriatic|Europe|Italy|Marche|Ancona|Senigallia|Rotonda a mare|Book|SenigalliaMareCollina","||Book Senigallia Mare Collina|Senigallia City and Seaside"
20100227@231807,2010-02-27T23:18:07.000,,,"Granny Smith apple on black","Granny Smith apple isolated on black, with water drops.","|green|indoor|black|fruit|apple|Granny Smith",""
20100227@232324,2010-02-27T23:23:24.000,,,"Royal Gala apple on black","Royal Gala apple isolated on black, with water drops.","|red|indoor|black|fruit|apple|Royal Gala",""
20100227@233540,2010-02-27T23:35:40.000,,,"Green bell pepper on black","Green bell pepper isolated on black, with water drops.",|green|indoor|black|vegetable|pepper,""
20100414@192642,2010-04-14T19:26:42.000,43.7217690833333,13.22152015,"Senigallia harbor",,"|harbor|Europe|Italy|Marche|Ancona|Senigallia|Senigallia harbor|green|lighthouse|cloud|spring|sea|Mediterranean|Adriatic|dusk|Book|SenigalliaMareCollina","||Book Senigallia Mare Collina|Senigallia City and Seaside"
20100414@193352,2010-04-14T19:33:52.000,43.7217690833333,13.2215201333333,"Seascape at dusk",,"|Europe|Italy|Marche|Ancona|Senigallia|Senigallia harbor|outdoor|seascape|cloud|spring|sea|Mediterranean|Adriatic|dusk|Book|SenigalliaMareCollina","||Book Senigallia Mare Collina|Seascape|Senigallia City and Seaside"
20100508@175426,2010-05-08T17:54:26.000,,,"Orange baloon flying away","Orange baloon flying away in the cloudy blue sky",|orange|cloud|blue|summer|outdoor|sky|flying|toy|baloon,""
20100508@181226,2010-05-08T18:12:26.000,,,"Orange baloon against the sky","Orange baloon and a cloudy blue sky in the background",|orange|cloud|blue|summer|outdoor|sky|flying|toy|baloon,""
20100508@163007,2010-05-08T16:30:07.000,43.716694,13.1788301166667,"Wheat fields with traces","Green wheat field with trees and tractor traces.",|Europe|Italy|Marche|Ancona|Senigallia|green|afternoon|summer|hill|tree|countryside|field|Book|SenigalliaMareCollina|wheat|Europe|Italy|Marche|Ancona|Scapezzano|Ponticelli,"||Book Senigallia Mare Collina|Senigallia Hills"
20100508@163233,2010-05-08T16:32:33.000,43.716694,13.1788301166667,"Olive tree and bushes","Olive tree with a foreground of green wheat and a background of bushes and blue sky.",|Europe|Italy|Marche|Ancona|Senigallia|green|blue|afternoon|summer|hill|outdoor|sky|countryside|field|Book|SenigalliaMareCollina|wheat|Europe|Italy|Marche|Ancona|Scapezzano|Ponticelli|tree|olive,"||Book Senigallia Mare Collina|Senigallia Hills"
20100508@163710,2010-05-08T16:37:10.000,43.7166939833333,13.1788301166667,"Poppy from below",,|Europe|Italy|Marche|Ancona|Senigallia|red|cloud|blue|afternoon|summer|flower|poppy|outdoor|sky|Book|SenigalliaMareCollina|Europe|Italy|Marche|Ancona|Scapezzano|Ponticelli,"||Book Senigallia Mare Collina|Senigallia Hills"
20100508@164935,2010-05-08T16:49:35.000,43.7166939833333,13.1788301166667,"Green wheat field with grass","Green wheat field on a hill with grass in the foreground.",|Europe|Italy|Marche|Ancona|Senigallia|green|afternoon|summer|hill|countryside|field|Book|SenigalliaMareCollina|wheat|Europe|Italy|Marche|Ancona|Scapezzano|Ponticelli,"||Book Senigallia Mare Collina|Senigallia Hills"
20100620@113804,2010-06-20T11:38:04.000,40.99695975,17.2186124333333,"Polignano a Mare","Polignano a Mare. Polignano a Mare is a town and comune in the province of Bari, Apulia, southern Italy, located on the Adriatic Sea. The local economy mostly depends on tourism, agriculture and fishing.","|cloud|morning|summer|sea|Mediterranean|Adriatic|coast|Europe|Italy|Puglia|Bari|Polignano a Mare",""
20100621@104409,2010-06-21T10:44:09.000,40.1465686833333,18.4922432833333,"Sightseeing in Otranto","Sightseeing in Otranto. Otranto is a town and comune in the province of Lecce, in a fertile region once famous for its breed of horses. It is located on the east coast of the Salento peninsula.",|harbor|boat|lighthouse|morning|summer|sea|Mediterranean|Adriatic|Europe|Italy|Puglia|Lecce|Otranto,""
20100621@112132,2010-06-21T11:21:32.000,40.1468147166667,18.49081635,"Sightseeing in Otranto","Sightseeing in Otranto. Otranto is a town and comune in the province of Lecce, in a fertile region once famous for its breed of horses. It is located on the east coast of the Salento peninsula.","|harbor|cloud|morning|street lamp|summer|sea|Mediterranean|Adriatic|square|Europe|Italy|Puglia|Lecce|Otranto",""
20100621@112158,2010-06-21T11:21:58.000,40.1468147166667,18.49081635,"Sightseeing in Otranto","Sightseeing in Otranto. Otranto is a town and comune in the province of Lecce, in a fertile region once famous for its breed of horses. It is located on the east coast of the Salento peninsula.","|harbor|boat|cloud|morning|street lamp|summer|sea|Mediterranean|Adriatic|square|Europe|Italy|Puglia|Lecce|Otranto",""
20100622@173748,2010-06-22T17:37:48.000,40.0356199166667,18.4602552666667,"Coast of Santa Cesarea Terme","Coast of Santa Cesarea Terme. Santa Cesarea Terme is a town and comune of 3,100 inhabitants in province of Lecce, in Apulia, southern Italy.","|cloud|afternoon|summer|sea|Mediterranean|Adriatic|coast|Europe|Italy|Puglia|Lecce|Santa Cesarea Terme",""
20100710@102556,2010-07-10T10:25:56.000,43.7093152333333,13.1459355,"Proud sunflower","Proud sunflower. Helianthus or sunflowers is a genus of plants comprising about 70 species in the family Asteraceae. The genus is one of many in the Asteraceae that are known as sunflowers. Except for three species in South America, all Helianthus species are native to North America. The common name, ""sunflower,"" also applies to the popular annual species Helianthus annuus, the common sunflower. This and other species, notably Jerusalem artichoke (H. tuberosus), are cultivated in temperate regions as food crops and ornamental plants.",|Europe|Italy|Marche|Ancona|Senigallia|yellow|morning|blue|summer|flower|sunflower|countryside|field|Europe|Italy|Marche|Ancona|Roncitelli|Book|SenigalliaMareCollina,"||Book Senigallia Mare Collina|Senigallia Hills"
20100710@142420,2010-07-10T14:24:20.000,43.7093152333333,13.1459355,"Bee on a sunflower",,|Europe|Italy|Marche|Ancona|Senigallia|green|yellow|afternoon|summer|hill|insect|bee|flower|sunflower|countryside|field|Europe|Italy|Marche|Ancona|Roncitelli,"||Senigallia Hills"
20100710@150018,2010-07-10T15:00:18.000,43.7093152333333,13.1459355,"Sunflowers field",,|Europe|Italy|Marche|Ancona|Senigallia|yellow|afternoon|summer|flower|sunflower|countryside|field|Europe|Italy|Marche|Ancona|Roncitelli|Book|SenigalliaMareCollina,"||Book Senigallia Mare Collina|Senigallia Hills"
20100718@113305,2010-07-18T11:33:05.000,,,"Bees in the apiary","Close view of an apiary entrance, with bees.",|green|morning|summer|insect|bee|resting|detail|apiary|beehive|beekeeper,""
20100731@184019,2010-07-31T16:40:19.000,43.7079347,13.1316232666667,"Green wheatgrains field",,|Europe|Italy|Marche|Ancona|Senigallia|green|afternoon|summer|hill|tree|countryside|field|Europe|Italy|Marche|Ancona|Roncitelli|Book|SenigalliaMareCollina,"||Book Senigallia Mare Collina|Senigallia Hills"
20100731@184259,2010-07-31T16:42:59.000,43.7079347,13.1316232666667,"Threshed fields","Threshed fields in the hills around Senigallia.",|Europe|Italy|Marche|Ancona|Senigallia|yellow|afternoon|summer|hill|countryside|field|Europe|Italy|Marche|Ancona|Roncitelli|countryside|field|threshed,"||Book Senigallia Mare Collina|Senigallia Hills"
20100810@135504,2010-08-10T11:55:04.000,,,"Blood on the center line","Turned down glass with ice cubes and blood spilling on the center line of a road.",|red|white|ice|glass|blood|drinking|alcohol|drinking|driving|road|centerlines,""
20100810@135918,2010-08-10T11:59:18.000,,,"Blood on the center line","Turned down glass with ice cubes and blood spilling on the center line of a road.",|red|white|ice|glass|blood|drinking|alcohol|drinking|driving|road|centerlines,""
20100811@183227,2010-08-11T16:32:27.000,,,"I don't smoke","Hand of a child who rejects the cigarette offered by a man's hand",|black|hand|child|stopping|smoking|cigarette|caucasian,""
20100815@142752,2010-08-15T12:27:52.000,43.7093617666667,13.14591405,"Green field with electic poles",,"|green|blue|afternoon|summer|hill|outdoor|sky|Europe|Italy|Marche|Ancona|Roncitelli|transmission tower","||Book Senigallia Mare Collina|Senigallia Hills"
20100815@142821,2010-08-15T12:28:21.000,43.7093617666667,13.14591405,"Green slope with clouds",,|Europe|Italy|Marche|Ancona|Senigallia|green|cloud|blue|afternoon|summer|hill|outdoor|sky|countryside|field|Europe|Italy|Marche|Ancona|Roncitelli|Book|SenigalliaMareCollina,"||Book Senigallia Mare Collina|Senigallia Hills"
20101014@143826,2010-10-14T14:38:26.000,43.71786105,13.2233440833333,"Rotonda a Mare in autumn",,"|Europe|Italy|Marche|Ancona|Senigallia|beach|afternoon|fall|sea|Mediterranean|Adriatic|Europe|Italy|Marche|Ancona|Senigallia|Rotonda a mare|Book|SenigalliaMareCollina","||Book Senigallia Mare Collina|Senigallia City and Seaside"
20101014@143919,2010-10-14T14:39:19.000,43.71786105,13.2233440833333,"Senigallia beach in autumn",,|Europe|Italy|Marche|Ancona|Senigallia|beach|afternoon|fall|sea|Mediterranean|Adriatic|chimney|Book|SenigalliaMareCollina,"||Book Senigallia Mare Collina|Senigallia City and Seaside"
20101216@075158,2010-12-16T07:51:58.000,43.7195359666667,13.22065115,"Running at the harbor with the snow",,"|harbor|Europe|Italy|Marche|Ancona|Senigallia|Senigallia harbor|morning|street lamp|winter|sea|Mediterranean|Adriatic|Book|SenigalliaMareCollina|running|snow","||Book Senigallia Mare Collina|Senigallia City and Seaside"
20101216@081137,2010-12-16T08:11:37.000,43.7195359666667,13.22065115,"Senigallia under the snow",,|harbor|Europe|Italy|Marche|Ancona|Senigallia|lighthouse|morning|winter|sea|Mediterranean|Adriatic|snow,"||Senigallia City and Seaside"
20101216@081940,2010-12-16T08:19:40.000,43.7195359666667,13.22065115,"Senigallia under the snow",,"|harbor|Europe|Italy|Marche|Ancona|Senigallia|lighthouse|fishing net|lift net|shore operated stationary lift net|morning|street lamp|winter|sea|Mediterranean|Adriatic|snow","||Senigallia City and Seaside"
20101216@082347,2010-12-16T08:23:47.000,43.7195359666667,13.22065115,"Senigallia under the snow",,"|Europe|Italy|Marche|Ancona|Senigallia|cloud|beach|morning|winter|walking|sea|Mediterranean|Adriatic|Europe|Italy|Marche|Ancona|Senigallia|Rotonda a mare|snow","||Senigallia City and Seaside"
20101216@082723,2010-12-16T08:27:23.000,43.7195359666667,13.22065115,"Senigallia under the snow",,"|Europe|Italy|Marche|Ancona|Senigallia|cloud|beach|morning|wave|winter|Europe|Italy|Marche|Ancona|Monte Conero|sea|Mediterranean|Adriatic|snow","||Senigallia City and Seaside"
20110603@101944,2011-06-03T10:19:44.000,43.7207766333333,13.22117665,"The first bath of June",,|Europe|Italy|Marche|Ancona|Senigallia|beach|morning|summer|wave|bathing|sea|Mediterranean|Adriatic,"||Senigallia City and Seaside"
20110603@101957,2011-06-03T10:19:57.000,43.7207766333333,13.22117665,"The First Bath of June",,"|Europe|Italy|Marche|Ancona|Senigallia|beach|morning|summer|wave|bathing|sea|Mediterranean|Adriatic|Europe|Italy|Marche|Ancona|Senigallia|Rotonda a mare|Book|SenigalliaMareCollina","||Book Senigallia Mare Collina|Senigallia City and Seaside"
